Sportart,Status,Ergebnis,Naechster sinnvoller Schritt,Letzte Pruefung
Track and Field,offen,Keine belastbaren aktuellen USA-basierten Schweizer Treffer in diesem Durchlauf,NCAA D1/D2 Roster systematisch nach Switzerland durchsuchen,2026-07-05
Kunstturnen,teilweise bestaetigt,Ian Raubal bei Penn State ergaenzt,Penn State 2026-27 Roster offiziell nachpruefen,2026-07-05
Boxen,offen,Keine belastbaren aktuellen Schweizer Profiboxer mit US-Arbeitsort gefunden,BoxRec/Promoter-Roster gezielt pruefen,2026-07-05
Lacrosse,offen,Keine belastbaren aktuellen Schweizer NCAA/PLL/NLL Treffer gefunden,NCAA Lacrosse Roster und PLL/NLL Nationality-Felder pruefen,2026-07-05
American Football,offen,Kein aktueller Schweizer NFL/CFL/College-Football Treffer fuer USA-Hauptliste gefunden,NFL International Player Pathway und NCAA-Football-Roster pruefen,2026-07-05
Baseball,offen,Kein aktueller Schweizer MLB/MiLB/NCAA-Baseball Treffer gefunden,MLB/MiLB und NCAA-Roster nach Switzerland durchsuchen,2026-07-05
NWSL,geprueft,Crnogorcevic und Bachmann sind ehemalige USA-Faelle und in der Watchlist,NWSL 2026 Roster bei Saisonupdates erneut pruefen,2026-07-05
MLS,teilweise bestaetigt,US-Teams in Hauptliste; Noah Streit bei CF Montreal in Watchlist,MLS offizielle Roster fuer Transfers nachziehen,2026-07-05
Golf,komplett,"USA-basierte Schweizerinnen mit LPGA/LET-Profil: Albane Valenzuela, Morgane Metraux, Kim Metraux","Bei Saisonupdates LPGA/LET-Profilseiten erneut pruefen",2026-07-05
Basketball,teilweise erweitert,"NBA/Pro und NCAA: Dayan Nessah und Dimitri Clerc ergaenzt; weitere NCAA-Roster bleiben systematisch offen","2026-27 College-Roster nach Schweizer Hometowns erneut durchsuchen",2026-07-05
UFC,komplett,"Aktuelles UFC-Roster: Volkan Oezdemir und Robert Valentin; Ange Loosa ist ehemalig/released und in Watchlist","Bei UFC-Rosterupdates erneut nach Schweiz/Congo-Doppelbezug pruefen",2026-07-05
